iter	Passed	Remaining
0	60	60199
1	63	31823
2	66	22248
3	70	17510
4	73	14623
5	76	12736
6	80	11376
7	83	10385
8	87	9599
9	90	8936
10	93	8409
11	96	7975
12	99	7582
13	103	7281
14	106	6997
15	109	6747
16	112	6514
17	115	6324
18	118	6137
19	122	5991
20	125	5853
21	128	5721
22	131	5606
23	134	5481
24	137	5356
25	140	5247
26	142	5147
27	145	5058
28	149	4993
29	151	4905
30	154	4843
31	157	4770
32	160	4706
33	163	4643
34	166	4582
35	168	4521
36	171	4462
37	174	4417
38	177	4369
39	179	4317
40	182	4272
41	185	4238
42	188	4197
43	191	4161
44	194	4122
45	197	4087
46	199	4055
47	202	4023
48	206	4003
49	209	3973
50	211	3942
51	214	3912
52	217	3883
53	220	3854
54	222	3825
55	225	3795
56	228	3781
57	231	3758
58	234	3737
59	237	3714
60	240	3694
61	242	3670
62	245	3646
63	248	3630
64	250	3608
65	253	3591
66	256	3572
67	258	3549
68	261	3534
69	264	3515
70	267	3497
71	269	3479
72	272	3461
73	275	3442
74	278	3436
75	281	3422
76	284	3409
77	287	3392
78	289	3379
79	292	3367
80	295	3352
81	297	3335
82	300	3316
83	303	3307
84	305	3290
85	308	3277
86	310	3263
87	313	3251
88	316	3240
89	319	3230
90	322	3221
91	325	3210
92	328	3199
93	331	3191
94	334	3182
95	336	3172
96	339	3160
97	348	3211
98	356	3248
99	362	3265
100	373	3320
101	380	3349
102	388	3380
103	393	3389
104	396	3377
105	399	3366
106	401	3353
107	404	3340
108	407	3331
109	410	3322
110	413	3314
111	417	3306
112	420	3298
113	423	3290
114	426	3282
115	429	3274
116	432	3264
117	435	3255
118	438	3247
119	441	3238
120	445	3234
121	448	3230
122	452	3226
123	456	3222
124	460	3220
125	464	3220
126	467	3214
127	470	3207
128	474	3200
129	477	3193
130	480	3184
131	483	3177
132	486	3172
133	489	3165
134	493	3159
135	496	3151
136	499	3147
137	502	3140
138	505	3131
139	508	3121
140	510	3112
141	513	3104
142	516	3094
143	518	3084
144	521	3075
145	524	3069
146	527	3060
147	530	3051
148	532	3043
149	536	3038
150	538	3029
151	541	3022
152	544	3015
153	548	3012
154	551	3005
155	554	2997
156	556	2989
157	559	2980
158	562	2972
159	564	2964
160	567	2955
161	570	2953
162	573	2945
163	576	2940
164	579	2932
165	582	2925
166	584	2917
167	587	2909
168	590	2902
169	592	2894
170	595	2887
171	598	2880
172	601	2873
173	604	2867
174	606	2859
175	609	2853
176	612	2846
177	614	2838
178	617	2831
179	620	2824
180	622	2818
181	626	2813
182	628	2807
183	631	2800
184	634	2793
185	636	2786
186	639	2781
187	643	2777
188	646	2772
189	648	2765
190	651	2759
191	654	2753
192	656	2747
193	659	2740
194	662	2734
195	665	2728
196	668	2723
197	670	2716
198	673	2710
199	675	2703
200	678	2698
201	681	2692
202	683	2684
203	686	2680
204	689	2674
205	692	2667
206	694	2661
207	697	2656
208	700	2649
209	702	2643
210	705	2638
211	708	2633
212	711	2627
213	713	2621
214	716	2615
215	718	2609
216	721	2605
217	724	2598
218	727	2595
219	730	2589
220	732	2583
221	735	2577
222	737	2571
223	740	2566
224	743	2560
225	746	2555
226	748	2550
227	751	2544
228	754	2539
229	756	2533
230	759	2529
231	763	2526
232	765	2520
233	768	2515
234	770	2509
235	773	2503
236	775	2497
237	779	2495
238	782	2490
239	784	2485
240	787	2480
241	789	2474
242	792	2468
243	795	2463
244	797	2458
245	800	2453
246	803	2448
247	805	2443
248	808	2438
249	811	2433
250	813	2428
251	816	2422
252	818	2417
253	821	2412
254	823	2407
255	826	2402
256	829	2398
257	832	2393
258	834	2388
259	837	2383
260	840	2379
261	843	2375
262	845	2370
263	848	2366
264	851	2361
265	854	2357
266	857	2352
267	859	2348
268	862	2343
269	865	2339
270	868	2335
271	870	2330
272	873	2325
273	875	2320
274	878	2316
275	881	2311
276	883	2306
277	886	2302
278	889	2297
279	891	2293
280	894	2288
281	897	2284
282	900	2280
283	902	2276
284	905	2271
285	908	2267
286	911	2263
287	914	2259
288	916	2255
289	919	2251
290	922	2247
291	925	2242
292	927	2238
293	930	2233
294	933	2229
295	935	2225
296	938	2221
297	941	2216
298	944	2213
299	946	2209
300	949	2205
301	953	2202
302	955	2198
303	958	2194
304	961	2189
305	963	2185
306	966	2180
307	968	2176
308	971	2172
309	974	2168
310	976	2163
311	979	2159
312	981	2154
313	984	2151
314	987	2147
315	989	2142
316	992	2138
317	995	2134
318	997	2130
319	1000	2126
320	1003	2122
321	1006	2118
322	1009	2114
323	1011	2110
324	1014	2106
325	1016	2101
326	1019	2097
327	1021	2093
328	1024	2089
329	1027	2086
330	1030	2082
331	1032	2078
332	1036	2075
333	1038	2071
334	1041	2068
335	1044	2064
336	1047	2060
337	1049	2055
338	1053	2053
339	1056	2050
340	1058	2046
341	1061	2041
342	1063	2037
343	1066	2034
344	1069	2030
345	1071	2026
346	1074	2021
347	1076	2017
348	1079	2013
349	1081	2009
350	1084	2004
351	1086	2000
352	1089	1996
353	1091	1991
354	1094	1988
355	1096	1984
356	1099	1979
357	1101	1975
358	1104	1971
359	1106	1967
360	1109	1963
361	1111	1959
362	1114	1955
363	1117	1951
364	1119	1948
365	1123	1945
366	1126	1942
367	1129	1939
368	1132	1936
369	1135	1933
370	1138	1930
371	1141	1927
372	1145	1925
373	1148	1922
374	1151	1918
375	1153	1915
376	1156	1911
377	1159	1907
378	1161	1903
379	1164	1900
380	1167	1896
381	1169	1892
382	1172	1888
383	1175	1885
384	1177	1881
385	1180	1877
386	1183	1874
387	1185	1870
388	1188	1867
389	1192	1865
390	1195	1861
391	1197	1858
392	1201	1855
393	1204	1852
394	1206	1848
395	1209	1845
396	1211	1840
397	1214	1836
398	1217	1833
399	1219	1829
400	1222	1825
401	1225	1822
402	1227	1818
403	1230	1814
404	1232	1810
405	1234	1806
406	1237	1803
407	1240	1800
408	1243	1796
409	1246	1793
410	1248	1789
411	1251	1785
412	1254	1782
413	1257	1779
414	1259	1775
415	1262	1771
416	1264	1767
417	1267	1764
418	1270	1761
419	1272	1757
420	1275	1754
421	1278	1750
422	1280	1747
423	1283	1743
424	1285	1739
425	1288	1735
426	1291	1732
427	1293	1728
428	1296	1725
429	1298	1721
430	1301	1718
431	1304	1715
432	1307	1711
433	1310	1708
434	1312	1704
435	1315	1701
436	1317	1697
437	1320	1694
438	1323	1690
439	1325	1687
440	1328	1684
441	1331	1680
442	1333	1677
443	1336	1673
444	1338	1669
445	1341	1666
446	1344	1663
447	1346	1659
448	1349	1655
449	1351	1652
450	1354	1648
451	1356	1644
452	1359	1641
453	1362	1638
454	1364	1634
455	1366	1630
